delito,diasem,mes,tipov,longitud,latitud
492,5,3,1,1,-71.3776119,-32.4810705
493,5,3,4,1,-71.625506,-33.4976934
494,6,3,1,3,-71.6101594,-33.5952041
495,6,3,2,1,-71.5101765,-32.9236891
496,6,3,3,1,-71.5923529,-33.033374
497,6,3,4,1,-71.3689292,-33.0434542
498,6,3,11,1,-71.6856802,-33.3976876
499,6,3,22,1,-71.3728889,-33.0529416
500,6,3,23,1,-71.4441649,-33.0467004
501,7,3,0,1,-71.619459,-33.5811823
502,7,3,1,1,-71.3957048,-32.9264189
503,7,3,6,1,-70.5378571,-32.8377266
504,7,3,11,1,-71.5801707,-33.1148932
505,7,3,21,1,-71.5171681,-33.0212688
506,1,3,6,1,-71.5308376,-33.0368108
507,1,3,6,1,-71.595817,-33.5497054
508,1,3,17,1,-71.2737698,-32.9846431
509,1,3,20,1,-70.7267693,-32.7574791
510,1,3,21,1,-71.383707,-33.0450165
511,2,3,5,1,-71.5193262,-33.0025019
512,2,3,6,1,-71.6107242,-33.6128648
513,2,3,12,2,-71.3901856,-33.0432362
514,2,3,16,3,-71.5469288,-33.0221567
515,2,3,18,1,-70.6009955,-32.8286145
516,2,3,20,3,-71.066658,-32.4274773
517,2,3,21,3,-71.5799993,-33.0629464
518,2,3,21,1,-71.531185,-32.7789869
519,3,3,2,1,-71.504984,-32.9943942
520,3,3,9,1,-71.3690535,-33.0389482
521,3,3,12,6,-71.4052479,-33.0630611
522,3,3,14,1,-71.5428247,-33.0410593
523,3,3,17,3,-71.7231708,-33.9078087
524,4,3,2,1,-71.5953203,-33.0530741
525,4,3,4,1,-71.5174584,-33.0191728
526,4,3,7,1,-71.5844619,-33.0335862
527,4,3,7,3,-70.9303569,-32.2501603
528,4,3,7,2,-71.5818673,-33.0376601
529,4,3,12,4,-71.4294943,-32.5083994
530,4,3,15,1,-71.5341096,-33.0317099
531,4,3,15,1,-71.5649964,-33.0269453
532,4,3,18,1,-71.6270876,-33.0419146
533,4,3,18,1,-71.5416552,-33.0106378
534,4,3,23,1,-71.5533983,-33.0126984
535,5,3,4,4,-71.5420328,-32.9758854
536,5,3,22,1,-71.5412646,-33.0204174
537,6,3,7,2,-71.4115759,-32.7243475
538,6,3,13,1,-71.5412646,-33.0204174
539,6,3,20,1,-71.5170096,-32.9955572
540,6,3,22,1,-71.4067541,-33.036089
541,7,3,0,1,-71.3836602,-33.0609797
542,7,3,1,1,-71.4966819,-33.010614
543,7,3,3,2,-71.5412862,-33.0171964
544,7,3,4,2,-71.6104244,-33.596178
545,7,3,5,1,-71.5179136,-32.9257626
546,7,3,9,1,-71.5500014,-33.0153549
547,7,3,10,1,-109.349576,-27.1259593
548,7,3,20,1,-71.5439627,-33.027092
549,7,3,20,3,-71.5451875,-33.0107519
550,7,3,21,1,-71.4421149,-33.0492796
551,7,3,23,1,-71.5413,-33.0283188
552,1,3,0,2,-70.961836,-32.8409602
553,1,3,1,1,-71.5694837,-33.0653505
554,1,3,2,4,-70.7330738,-32.7530041
555,1,3,2,1,-71.4112024,-33.314977
556,1,3,16,1,-71.0304094,-32.8166194
557,1,3,18,1,-71.2761586,-32.9794062
558,1,3,22,1,-70.9729754,-32.837865
559,1,3,12,1,-71.6004072,-33.0548489
560,2,3,4,6,-71.5518545,-33.0263663
561,2,3,17,1,-71.4558469,-33.0446792
562,2,3,20,1,-71.5462916,-32.9328995
563,2,3,22,1,-71.5478921,-33.026438
564,2,3,23,3,-71.4528021,-33.0443878
565,3,3,0,1,-71.4035207,-33.0428596
566,3,3,15,1,-71.497532,-32.9211009
567,3,3,20,1,-71.5008309,-32.9981392
568,3,3,21,1,-71.4075521,-33.0415056
569,4,3,3,4,-71.5035154,-33.0234682
570,4,3,10,2,-71.465996,-33.0552592
571,4,3,11,1,-71.3608144,-33.0623665
572,4,3,12,1,-71.6033068,-33.0486892
573,4,3,13,1,-70.6037447,-32.8394016
574,4,3,14,1,-71.1984998,-32.787795
575,4,3,18,5,-71.4812528,-33.0305494
576,4,3,21,1,-71.4812528,-33.0305494
577,5,3,7,3,-71.5224352,-32.9921268
578,5,3,20,1,-71.4498217,-33.0467826
579,5,3,21,1,-71.5643353,-33.0457642
580,6,3,1,1,-71.3735501,-33.0424859
581,6,3,3,4,-109.32303,-27.0737385
582,6,3,5,1,-71.37821,-33.0605311
583,6,3,9,1,-71.6829348,-33.4326083
